cod_municipio,UF,municipio,populacao,faixa_populacao,regiao,atendimento_website,atendimento_whatsapp,atendimento_telefone,nao_disponibiliza_atendimento_distancia,tipo_conexao_internet,tem_estrutura_t,ti_funcionarios_efetivos,ti_terceirizados,tem_cpd,software_interno,software_sociedade,nao_desenvolveu_software,A página da prefeitura na internet está,servico_ouvidoria_online,servico_consulta_processos,servico_nota_fiscal_eletronica,servico_agendamento_saude,site_mobile,tem_inclusao_digital,curso_informatica_populacao,tem_wifi_publico,consulta_publica_online,tem_portal_transparencia,tem_portal_dados_abertos,acessibilidade_sem_mouse,acessibilidade_libras
1100015,RO,Alta Floresta DOeste,22853,4 - 20001 até 50000,1 - Norte,Sim,Sim,Sim,Não,Via cabo ou fibra ótica,Não,-,-,Não,Não,Não,Sim,Ativa,Sim,Sim,Sim,Não,Não,Não,-,Sim,Não,Sim,Não,Não,Não
1100023,RO,Ariquemes,108573,6 - 100001 até 500000,1 - Norte,Sim,Sim,Sim,Não,Via cabo ou fibra ótica,Sim,Sim,Não,Sim,Não,Não,Sim,Ativa,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Não
1100031,RO,Cabixi,5690,2 - 5001 até 10000,1 - Norte,Sim,Não,Sim,Não,Via cabo ou fibra ótica,Não,-,-,Sim,Não,Não,Sim,Ativa,Sim,Sim,Sim,Não,Sim,Não,-,Não,Não,Sim,Sim,Não,Não
1100049,RO,Cacoal,97637,5 - 50001 até 100000,1 - Norte,Sim,Sim,Sim,Não,Via cabo ou fibra ótica,Sim,Sim,Não,Sim,Sim,Não,Não,Ativa,Sim,Sim,Sim,Não,Sim,Sim,Não,Sim,Sim,Sim,Sim,Sim,Sim
1100056,RO,Cerejeiras,16975,3 - 10001 até 20000,1 - Norte,Sim,Sim,Não,Não,Via cabo ou fibra ótica,Sim,Sim,Não,Sim,Não,Não,Sim,Ativa,Sim,Sim,Sim,Sim,Não,Não,-,Não,Sim,Sim,Sim,Não,Não
1100064,RO,Colorado do Oeste,16588,3 - 10001 até 20000,1 - Norte,Não,Sim,Não,Não,Via cabo ou fibra ótica,Sim,Sim,Sim,Sim,Não,Não,Sim,Ativa,Sim,Sim,Sim,Não,Sim,Sim,Sim,Não,Sim,Sim,Não,Não,Não
1100072,RO,Corumbiara,8001,2 - 5001 até 10000,1 - Norte,Não,Sim,Sim,Não,Via cabo ou fibra ótica,Não,-,-,Sim,Sim,Não,Não,Ativa,Sim,Não,Sim,Não,Não,Sim,Não,Não,Não,Sim,Sim,Sim,Não
1100080,RO,Costa Marques,13522,3 - 10001 até 20000,1 - Norte,Sim,Não,Sim,Não,Via cabo ou fibra ótica,Sim,Sim,Não,Não,Sim,Não,Não,Ativa,Sim,Sim,Sim,Não,Não,Não,-,Não,Sim,Sim,Não,Não,Não
1100098,RO,Espigão DOeste,32717,4 - 20001 até 50000,1 - Norte,Sim,Não,Sim,Não,Via cabo ou fibra ótica,Sim,Não,Sim,Sim,Sim,Sim,Não,Ativa,Sim,Sim,Sim,Não,Não,Não,-,Sim,Não,Sim,Não,Não,Não
1100106,RO,Guajará-Mirim,43553,4 - 20001 até 50000,1 - Norte,Sim,Não,Sim,Não,Via cabo ou fibra ótica,Sim,Sim,Não,Sim,Sim,Não,Não,Ativa,Sim,Sim,Sim,Sim,Não,Sim,Não,Não,Não,Sim,Sim,Sim,Não
1100114,RO,Jaru,55583,5 - 50001 até 100000,1 - Norte,Sim,Sim,Sim,Não,Via cabo ou fibra ótica,Sim,Sim,Não,Sim,Sim,Não,Não,Ativa,Sim,Sim,Sim,Não,Sim,Sim,Sim,Não,Sim,Sim,Não,Não,Não
1100122,RO,Ji-Paraná,139359,6 - 100001 até 500000,1 - Norte,Sim,Sim,Sim,Não,Via cabo ou fibra ótica,Sim,Sim,Não,Sim,Sim,Não,Não,Ativa,Sim,Sim,Sim,Não,Sim,Sim,Não,Não,Sim,Sim,Não,Sim,Sim
1100130,RO,Machadinho DOeste,34063,4 - 20001 até 50000,1 - Norte,Sim,Sim,Sim,Não,Via cabo ou fibra ótica,Sim,Não,Não,Sim,Não,Não,Sim,Ativa,Sim,Sim,Sim,Não,Sim,Não,-,Sim,Não,Sim,Não,Sim,Não
1100148,RO,Nova Brasilândia DOeste,16504,3 - 10001 até 20000,1 - Norte,Não,Sim,Sim,Não,Via cabo ou fibra ótica,Sim,Sim,Não,Não,Sim,Não,Não,Ativa,Sim,Sim,Sim,Sim,Não,Não,-,Sim,Sim,Sim,Sim,Não,Não
1100155,RO,Ouro Preto do Oeste,38681,4 - 20001 até 50000,1 - Norte,Sim,Sim,Sim,Não,Via cabo ou fibra ótica,Sim,Sim,Não,Sim,Não,Não,Sim,Ativa,Sim,Sim,Sim,Não,Sim,Não,-,Não,Sim,Sim,Não,Sim,Não
1100189,RO,Pimenta Bueno,39053,4 - 20001 até 50000,1 - Norte,Sim,Sim,Não,Não,Via cabo ou fibra ótica,Sim,Sim,Não,Sim,Não,Não,Sim,Ativa,Sim,Sim,Não,Sim,Não,Sim,Não,Não,Não,Sim,Não,Não,Não
1100205,RO,Porto Velho,514873,7 - Maior que 500000,1 - Norte,Sim,Não,Não,Não,Via cabo ou fibra ótica,Sim,Sim,Não,Sim,Sim,Sim,Não,Ativa,Sim,Sim,Sim,Não,Não,Sim,Sim,Não,Sim,Sim,Não,Não,Sim
1100254,RO,Presidente Médici,20518,4 - 20001 até 50000,1 - Norte,Sim,Sim,Sim,Não,Via cabo ou fibra ótica,Sim,Sim,Não,Sim,Não,Não,Sim,Ativa,Sim,Sim,Sim,Não,Sim,Não,-,Não,Sim,Sim,Não,-,-
1100262,RO,Rio Crespo,3753,1 - Até 5000,1 - Norte,Sim,Não,Sim,Não,Via linha telefônica (DSL),Não,-,-,Não,Não,Não,Sim,Ativa,Sim,Sim,Sim,Não,Não,Não,-,Não,Não,Sim,Sim,Não,Sim
1100288,RO,Rolim de Moura,62559,5 - 50001 até 100000,1 - Norte,Sim,Sim,Sim,Não,Via cabo ou fibra ótica,Sim,Sim,Não,Sim,Sim,Sim,Não,Ativa,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não
1100296,RO,Santa Luzia DOeste,7877,2 - 5001 até 10000,1 - Norte,Sim,Sim,Sim,Não,Via cabo ou fibra ótica,Sim,Sim,Não,Sim,Não,Não,Sim,Ativa,Sim,Sim,Sim,Não,Não,Sim,Sim,Não,Sim,Sim,Não,-,-
1100304,RO,Vilhena,108528,6 - 100001 até 500000,1 - Norte,Sim,Sim,Sim,Não,Via cabo ou fibra ótica,Sim,Sim,Não,Sim,Não,Não,Sim,Ativa,Sim,Sim,Sim,Não,Sim,Não,-,Não,Sim,Sim,Não,Sim,Não
1100320,RO,São Miguel do Guaporé,22267,4 - 20001 até 50000,1 - Norte,Sim,Não,Sim,Não,Via cabo ou fibra ótica,Sim,Sim,Não,Sim,Sim,Não,Não,Ativa,Sim,Sim,Não,Não,Sim,Não,-,Não,Não,Sim,Não,Sim,Não
1100338,RO,Nova Mamoré,28496,4 - 20001 até 50000,1 - Norte,Sim,Não,Não,Não,Via cabo ou fibra ótica,Sim,Sim,Não,Sim,Não,Não,Sim,Ativa,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Não,Não
1100346,RO,Alvorada DOeste,13837,3 - 10001 até 20000,1 - Norte,Sim,Sim,Sim,Não,Via cabo ou fibra ótica,Não,-,-,Não,Não,Não,Sim,Ativa,Sim,Sim,Sim,Sim,Sim,Não,-,Sim,Sim,Sim,Sim,Sim,Sim
1100379,RO,Alto Alegre dos Parecis,12263,3 - 10001 até 20000,1 - Norte,Sim,Sim,Sim,Não,Via cabo ou fibra ótica,Sim,Não,Sim,Sim,Não,Não,Sim,Ativa,Sim,Sim,Sim,Sim,Não,Não,-,Não,Sim,Sim,Sim,Não,Não
1100403,RO,Alto Paraíso,17463,3 - 10001 até 20000,1 - Norte,Sim,Sim,Sim,Não,Via cabo ou fibra ótica,Sim,Sim,Não,Sim,Não,Não,Sim,Ativa,Sim,Sim,Sim,Não,Sim,Não,-,Sim,Sim,Sim,Não,Sim,Não
1100452,RO,Buritis,30729,4 - 20001 até 50000,1 - Norte,Sim,Sim,Não,Não,Via cabo ou fibra ótica,Não,-,-,Sim,Não,Não,Sim,Ativa,Sim,Não,Sim,Não,Sim,Não,-,Sim,Sim,Sim,Não,Sim,Não
1100502,RO,Novo Horizonte do Oeste,8056,2 - 5001 até 10000,1 - Norte,Sim,Sim,Sim,Não,Via cabo ou fibra ótica,Sim,Não,Sim,Sim,Sim,Não,Não,Ativa,Sim,Sim,Sim,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim
1100601,RO,Cacaulândia,4345,1 - Até 5000,1 - Norte,Sim,Sim,Sim,Não,Via cabo ou fibra ótica,Não,-,-,Não,Não,Não,Sim,Ativa,Sim,Sim,Sim,Não,Não,Sim,Sim,Sim,Sim,Sim,Não,Não,Não
1100700,RO,Campo Novo de Rondônia,9225,2 - 5001 até 10000,1 - Norte,Sim,Sim,Sim,Não,Via cabo ou fibra ótica,Sim,Sim,Não,Não,Não,Não,Sim,Ativa,Sim,Sim,Sim,Não,Sim,Não,-,Sim,Não,Sim,Sim,Sim,Não
1100809,RO,Candeias do Jamari,24163,4 - 20001 até 50000,1 - Norte,Sim,Não,Não,Não,Via cabo ou fibra ótica,Sim,Sim,Não,Sim,Não,Não,Sim,Ativa,Sim,Sim,Sim,Não,Não,Não,-,Não,Não,Sim,Não,Não,Sim
1100908,RO,Castanheiras,3456,1 - Até 5000,1 - Norte,Não,Não,Não,Sim,Via cabo ou fibra ótica,Não,-,-,Sim,Não,Não,Sim,Ativa,Não,Não,Sim,Não,Não,Não,-,Não,Não,Sim,Não,Não,Não
1100924,RO,Chupinguaia,10129,3 - 10001 até 20000,1 - Norte,Sim,Não,Sim,Não,Via cabo ou fibra ótica,Não,-,-,Sim,Sim,Não,Não,Ativa,Sim,Não,Sim,Não,Não,Não,-,Não,Sim,Sim,Não,Não,Não
1100940,RO,Cujubim,15883,3 - 10001 até 20000,1 - Norte,Sim,Sim,Sim,Não,Via cabo ou fibra ótica,Sim,Sim,Não,Sim,Não,Não,Sim,Ativa,Sim,Sim,Sim,Não,Sim,Sim,Não,Sim,Não,Sim,Sim,Não,Não
1101005,RO,Governador Jorge Teixeira,8420,2 - 5001 até 10000,1 - Norte,Sim,Sim,Sim,Não,Via cabo ou fibra ótica,Não,-,-,Sim,Sim,Sim,Não,Ativa,Sim,Não,Sim,Não,Não,Não,-,Sim,Sim,Sim,Não,Não,Sim
1101104,RO,Itapuã do Oeste,9209,2 - 5001 até 10000,1 - Norte,Sim,Sim,Sim,Não,Via cabo ou fibra ótica,Sim,Sim,Não,Sim,Não,Não,Sim,Ativa,Sim,Sim,Sim,Sim,Não,Não,-,Sim,Sim,Sim,Sim,Não,Não
1101203,RO,Ministro Andreazza,6657,2 - 5001 até 10000,1 - Norte,Sim,Sim,Não,Não,Via cabo ou fibra ótica,Sim,Sim,Sim,Sim,Não,Sim,Não,Ativa,Sim,Sim,Sim,Não,Não,Não,-,Não,Não,Sim,Não,Não,Sim
1101302,RO,Mirante da Serra,9740,2 - 5001 até 10000,1 - Norte,Sim,Não,Sim,Não,Via cabo ou fibra ótica,Não,-,-,Sim,Não,Não,Sim,Ativa,Não,Não,Sim,Não,Não,Não,-,Sim,Não,Sim,Não,Não,Sim
1101401,RO,Monte Negro,12241,3 - 10001 até 20000,1 - Norte,Sim,Sim,Sim,Não,Via cabo ou fibra ótica,Sim,Sim,Não,Sim,Não,Não,Sim,Ativa,Sim,Não,Sim,Não,Sim,Sim,Não,Não,Sim,Sim,Não,Sim,Não
1101435,RO,Nova União,6577,2 - 5001 até 10000,1 - Norte,Sim,Sim,Sim,Não,Via cabo ou fibra ótica,Não,-,-,Sim,Sim,Não,Não,Ativa,Sim,Sim,Não,Não,Não,Não,-,Não,Não,Sim,Não,-,-
1101450,RO,Parecis,4390,1 - Até 5000,1 - Norte,Sim,Sim,Não,Não,Via cabo ou fibra ótica,Não,-,-,Sim,Sim,Não,Não,Ativa,Sim,Não,Sim,Não,Não,Não,-,Sim,Não,Sim,Não,Sim,Não
1101468,RO,Pimenteiras do Oeste,2311,1 - Até 5000,1 - Norte,Sim,Não,Sim,Não,Via cabo ou fibra ótica,Sim,Sim,Não,Sim,Sim,Não,Não,Ativa,Sim,Sim,Sim,Não,Não,Não,-,Não,Sim,Sim,Não,Sim,Não
1101476,RO,Primavera de Rondônia,3279,1 - Até 5000,1 - Norte,Não,Sim,Sim,Não,Via cabo ou fibra ótica,Sim,Sim,Não,Sim,Sim,Não,Não,Ativa,Sim,Sim,Sim,Não,Não,Não,-,Sim,Sim,Sim,Sim,-,-
1101484,RO,São Felipe DOeste,5605,2 - 5001 até 10000,1 - Norte,Sim,Sim,Sim,Não,Via cabo ou fibra ótica,Sim,Sim,Não,Sim,Sim,Sim,Não,Ativa,Sim,Sim,Sim,Não,Sim,Não,-,Não,Sim,Sim,Sim,Sim,Sim
1101492,RO,São Francisco do Guaporé,17511,3 - 10001 até 20000,1 - Norte,Sim,Sim,Sim,Não,Via cabo ou fibra ótica,Sim,Não,Não,Sim,Não,Não,Sim,Ativa,Sim,Sim,Sim,Não,Não,Sim,Não,Sim,Sim,Sim,Sim,Sim,Sim
1101500,RO,Seringueiras,12954,3 - 10001 até 20000,1 - Norte,Sim,Sim,Sim,Não,Via cabo ou fibra ótica,Sim,Sim,Não,Sim,Sim,Sim,Não,Ativa,Sim,Não,Sim,Não,Não,Sim,Não,Sim,Não,Sim,Não,-,-
1101559,RO,Teixeirópolis,4536,1 - Até 5000,1 - Norte,Sim,Não,Sim,Não,Via cabo ou fibra ótica,Sim,Não,Sim,Sim,Não,Não,Sim,Ativa,Não,Sim,Sim,Não,Sim,Não,-,Não,Sim,Sim,Não,Sim,Não
1101609,RO,Theobroma,8540,2 - 5001 até 10000,1 - Norte,Sim,Sim,Não,Não,Via cabo ou fibra ótica,Sim,Não,Não,Sim,Não,Não,Sim,Ativa,Sim,Não,Sim,Não,Não,Sim,Não,Sim,Não,Sim,Não,Não,Não
1101708,RO,Urupá,11377,3 - 10001 até 20000,1 - Norte,Sim,Não,Sim,Não,"Via modem Via linha telefônica (DSL)G, Via rádioG ou Via satéliteG",Sim,Sim,Não,Sim,Não,Sim,Não,Ativa,Sim,Sim,Sim,Não,Sim,Não,-,Não,Sim,Sim,Não,Sim,Não
1101757,RO,Vale do Anari,8265,2 - 5001 até 10000,1 - Norte,Sim,Sim,Não,Não,Via cabo ou fibra ótica,Não,-,-,Não,Não,Não,Sim,Ativa,Sim,Não,Sim,Não,Sim,Sim,Não,Sim,Não,Sim,Não,Sim,Sim
1101807,RO,Vale do Paraíso,6843,2 - 5001 até 10000,1 - Norte,Sim,Não,Não,Não,Via cabo ou fibra ótica,Sim,Não,Não,Sim,Não,Não,Sim,Ativa,Sim,Sim,Sim,Não,Sim,Não,-,Não,Não,Sim,Não,Sim,Não
1200013,AC,Acrelândia,14657,3 - 10001 até 20000,1 - Norte,Sim,Não,Não,Não,Via cabo ou fibra ótica,Não,-,-,Não,Não,Não,Sim,Ativa,Não,Não,Não,Não,Não,Não,-,Não,Não,Sim,Sim,Sim,Sim
1200054,AC,Assis Brasil,8573,2 - 5001 até 10000,1 - Norte,Sim,Não,Não,Não,Via cabo ou fibra ótica,Sim,Sim,Não,Não,Não,Não,Sim,Ativa,Sim,Não,Não,Não,Sim,Não,-,Não,Não,Sim,Sim,Não,Não
1200104,AC,Brasiléia,27841,4 - 20001 até 50000,1 - Norte,Sim,Não,Sim,Não,Via linha telefônica (DSL),Sim,Sim,Não,Sim,Não,Não,Sim,Ativa,Não,Não,Não,Não,Não,Sim,Não,Não,Não,Sim,Não,Sim,Não
1200138,AC,Bujari,13766,3 - 10001 até 20000,1 - Norte,Não,Sim,Sim,Não,Via cabo ou fibra ótica,Sim,Não,Não,Não,Não,Não,Sim,Ativa,Sim,Não,Não,Não,Não,Não,-,Sim,Sim,Sim,Não,Sim,Não
1200179,AC,Capixaba,10922,3 - 10001 até 20000,1 - Norte,Sim,Não,Sim,Não,Via cabo ou fibra ótica,Não,-,-,Não,Não,Sim,Não,Ativa,Sim,Não,Não,Não,Sim,Não,-,Não,Não,Sim,Sim,Sim,Sim
1200203,AC,Cruzeiro do Sul,98382,5 - 50001 até 100000,1 - Norte,Sim,Não,Não,Não,Via rádio,Sim,Não,Não,Sim,Não,Sim,Não,Ativa,Sim,Não,Sim,Não,Sim,Sim,Sim,Sim,Não,Sim,Não,Sim,Não
1200252,AC,Epitaciolândia,19739,3 - 10001 até 20000,1 - Norte,Sim,Sim,Não,Não,"Via modem Via linha telefônica (DSL)G, Via rádioG ou Via satéliteG",Não,-,-,Não,Não,Não,Sim,Ativa,Sim,Não,Sim,Não,Não,Sim,Não,Não,Não,Sim,Não,Não,Não
1200302,AC,Feijó,37644,4 - 20001 até 50000,1 - Norte,Sim,Não,Não,Não,Via cabo ou fibra ótica,Não,-,-,Sim,Não,Não,Sim,Ativa,Sim,Não,Sim,Não,Não,Sim,Não,Não,Não,Sim,Não,Não,Não
1200328,AC,Jordão,9787,2 - 5001 até 10000,1 - Norte,Sim,Sim,Não,Não,Via satélite,Não,-,-,Não,Não,Não,Sim,Ativa,Sim,Não,Sim,Não,Não,Não,-,Não,Não,Sim,Não,Não,Não
1200336,AC,Mâncio Lima,20329,4 - 20001 até 50000,1 - Norte,Sim,Sim,Sim,Não,Via cabo ou fibra ótica,Não,-,-,Não,Sim,Sim,Não,Ativa,Sim,Não,Sim,Não,Não,Sim,Não,Não,Não,Sim,Sim,Sim,Não
1200344,AC,Manoel Urbano,12776,3 - 10001 até 20000,1 - Norte,Sim,Não,Sim,Não,Via cabo ou fibra ótica,Não,-,-,Não,Não,Não,Sim,Ativa,Sim,Não,Sim,Sim,Não,Não,-,Não,Não,Sim,Não,-,-
1200351,AC,Marechal Thaumaturgo,17951,3 - 10001 até 20000,1 - Norte,Sim,Não,Sim,Não,Via satélite,Sim,Não,Sim,Sim,Não,Não,Sim,Ativa,Sim,Não,Sim,Não,Não,Sim,Não,Sim,Não,Sim,Não,-,-
1200385,AC,Plácido de Castro,17127,3 - 10001 até 20000,1 - Norte,Não,Não,Não,Não,Via cabo ou fibra ótica,Não,-,-,Não,Não,Não,Sim,Ativa,Sim,Não,Não,Não,Não,Não,-,Não,Não,Sim,Não,Não,Não
1200393,AC,Porto Walter,11275,3 - 10001 até 20000,1 - Norte,Sim,Sim,Não,Não,Via satélite,Não,-,-,Não,Sim,Não,Não,Ativa,Sim,Não,Sim,Não,Não,Sim,Sim,Sim,Não,Sim,Não,Não,Não
1200401,AC,Rio Branco,387852,6 - 100001 até 500000,1 - Norte,Sim,Sim,Sim,Não,Via linha telefônica (DSL),Sim,Sim,Sim,Sim,Sim,Sim,Não,Ativa,Sim,Não,Não,Não,Não,Sim,Não,Sim,Não,Sim,Não,-,-
1200427,AC,Rodrigues Alves,15537,3 - 10001 até 20000,1 - Norte,Sim,Não,Sim,Não,Via cabo ou fibra ótica,Sim,Não,Sim,Não,Sim,Não,Não,Ativa,Sim,Não,Sim,Não,Não,Sim,Não,Não,Não,Sim,Não,Não,Não
1200435,AC,Santa Rosa do Purus,7143,2 - 5001 até 10000,1 - Norte,Sim,Não,Sim,Não,Via satélite,Não,-,-,Não,Não,Não,Sim,Ativa,Sim,Não,Não,Não,Não,Não,-,Não,Não,Sim,Não,Não,Sim
1200450,AC,Senador Guiomard,22352,4 - 20001 até 50000,1 - Norte,Não,Não,Sim,Não,Via cabo ou fibra ótica,Sim,Não,Não,Sim,Não,Não,Sim,Ativa,Não,Não,Sim,Não,Não,Sim,Não,Não,Não,Sim,Sim,Não,Sim
1200500,AC,Sena Madureira,43916,4 - 20001 até 50000,1 - Norte,Sim,Sim,Sim,Não,"Via modem Via linha telefônica (DSL)G, Via rádioG ou Via satéliteG",Não,-,-,Não,Não,Não,Sim,Ativa,Sim,Não,Sim,Não,Não,Não,-,Não,Não,Sim,Não,Sim,Não
1200609,AC,Tarauacá,46517,4 - 20001 até 50000,1 - Norte,Sim,Sim,Sim,Não,Via cabo ou fibra ótica,Não,-,-,Não,Não,Não,Sim,Ativa,Sim,Não,Não,Não,Não,Sim,Não,Não,Não,Sim,Sim,Sim,Sim
1200708,AC,Xapuri,19090,3 - 10001 até 20000,1 - Norte,Recusa,Recusa,Recusa,Recusa,Recusa,Recusa,Recusa,Recusa,Recusa,Recusa,Recusa,Recusa,Recusa,Recusa,Recusa,Recusa,Recusa,Recusa,Recusa,Recusa,Recusa,Recusa,Recusa,Recusa,Recusa,Recusa
1200807,AC,Porto Acre,17455,3 - 10001 até 20000,1 - Norte,Sim,Sim,Sim,Não,Via cabo ou fibra ótica,Sim,Não,Sim,Sim,Não,Não,Sim,Ativa,Sim,Não,Sim,Não,Não,Não,-,Não,Não,Sim,Não,-,-
1300029,AM,Alvarães,16670,3 - 10001 até 20000,1 - Norte,Sim,Não,Sim,Não,Via cabo ou fibra ótica,Não,-,-,Não,Não,Não,Sim,Não possui página,-,-,-,-,Não,Não,-,Sim,Sim,Sim,Não,Sim,Sim
1300060,AM,Amaturá,11411,3 - 10001 até 20000,1 - Norte,Não,Não,Não,Não,Via cabo ou fibra ótica,Sim,Não,Não,Não,Não,Não,Sim,Em elaboração,-,-,-,-,Não,Sim,Não,Não,Não,Sim,Não,Sim,Não
1300086,AM,Anamã,10318,3 - 10001 até 20000,1 - Norte,Não,Sim,Sim,Não,Via cabo ou fibra ótica,Não,-,-,Não,Não,Não,Sim,Ativa,Não,Não,Não,Não,Não,Sim,Sim,Não,Não,Sim,Não,Sim,Sim
1300102,AM,Anori,17932,3 - 10001 até 20000,1 - Norte,Não,Sim,Sim,Não,Via cabo ou fibra ótica,Não,-,-,Não,Não,Não,Sim,Não possui página,-,-,-,-,Não,Sim,Sim,Não,Não,Sim,Não,Sim,Sim
1300144,AM,Apuí,21735,4 - 20001 até 50000,1 - Norte,Sim,Não,Não,Não,Via satélite,Sim,Sim,Não,Sim,Não,Não,Sim,Ativa,Sim,Não,Sim,Não,Não,Sim,Não,Sim,Não,Sim,Sim,Não,Sim
1300201,AM,Atalaia do Norte,15892,3 - 10001 até 20000,1 - Norte,Sim,Sim,Não,Não,Via satélite,Sim,Não,Não,Não,Não,Não,Sim,Ativa,Sim,Não,Não,Não,Não,Sim,Não,Não,Não,Sim,Sim,Sim,Sim
1300300,AM,Autazes,45328,4 - 20001 até 50000,1 - Norte,Sim,Não,Não,Não,Via cabo ou fibra ótica,Sim,Sim,Não,Sim,Não,Não,Sim,Ativa,Sim,Sim,Sim,Não,Não,Sim,Não,Não,Não,Sim,Não,Sim,Não
1300409,AM,Barcelos,18626,3 - 10001 até 20000,1 - Norte,Não,Não,Não,Não,Via cabo ou fibra ótica,Não,-,-,Não,Sim,Não,Não,Em manutenção ou reestruturação,Não,Não,Não,Não,Não,Não,-,Não,Não,Sim,Não,Não,Não
1300508,AM,Barreirinha,33436,4 - 20001 até 50000,1 - Norte,Sim,Não,Sim,Não,Via cabo ou fibra ótica,Sim,Sim,Não,Não,Não,Não,Sim,Ativa,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Sim,Sim,Não,Sim
1300607,AM,Benjamin Constant,40509,4 - 20001 até 50000,1 - Norte,Não,Sim,Sim,Não,Via rádio,Sim,Não,Não,Não,Não,Não,Sim,Ativa,Sim,Não,Não,Não,Não,Sim,Sim,Não,Sim,Sim,Sim,Sim,Sim
1300631,AM,Beruri,22136,4 - 20001 até 50000,1 - Norte,Não,Não,Não,Sim,Via cabo ou fibra ótica,Não,-,-,Não,Não,Não,Sim,Ativa,Sim,Não,Não,Não,Não,Não,-,Não,Não,Sim,Não,Sim,Sim
1300680,AM,Boa Vista do Ramos,25769,4 - 20001 até 50000,1 - Norte,Não,Sim,Sim,Não,Via cabo ou fibra ótica,Sim,Não,Sim,Não,Não,Não,Sim,Não possui página,-,-,-,-,Não,Sim,Sim,Sim,Não,Sim,Não,Não,Não
1300706,AM,Boca do Acre,38246,4 - 20001 até 50000,1 - Norte,Não,Não,Não,Sim,Via cabo ou fibra ótica,Não,-,-,Não,Não,Não,Sim,Ativa,Sim,Não,Sim,Não,Não,Não,-,Não,Não,Sim,Não,Sim,Não
1300805,AM,Borba,34879,4 - 20001 até 50000,1 - Norte,Não,Não,Não,Não,Via satélite,Não,-,-,Não,Não,Não,Sim,Não possui página,-,-,-,-,Não,Não,-,Não,Não,Sim,Não,-,-
1300839,AM,Caapiranga,14310,3 - 10001 até 20000,1 - Norte,Não,Não,Sim,Não,Via cabo ou fibra ótica,Não,-,-,Não,Não,Não,Sim,Ativa,Não,Não,Sim,Não,Não,Sim,Não,Não,Não,Sim,Não,Não,Não
1300904,AM,Canutama,17885,3 - 10001 até 20000,1 - Norte,Não,Não,Não,Sim,Via cabo ou fibra ótica,Não,-,-,Não,Não,Não,Sim,Não possui página,-,-,-,-,Não,Não,-,Não,Não,Sim,Não,Não,Não
1301001,AM,Carauari,30892,4 - 20001 até 50000,1 - Norte,Sim,Sim,Sim,Não,Via satélite,Não,-,-,Sim,Não,Não,Sim,Ativa,Sim,Não,Não,Não,Não,Sim,Sim,Sim,Não,Sim,Sim,Sim,Sim
1301100,AM,Careiro,32442,4 - 20001 até 50000,1 - Norte,Não,Não,Não,Não,Via cabo ou fibra ótica,Sim,Não,Não,Sim,Não,Não,Sim,Em elaboração,-,-,-,-,Não,Sim,Sim,Não,Não,Sim,Não,-,-
1301159,AM,Careiro da Várzea,19809,3 - 10001 até 20000,1 - Norte,Não,Não,Não,Sim,Via cabo ou fibra ótica,Não,-,-,Não,Não,Não,Sim,Não possui página,-,-,-,-,Não,Não,-,Não,Não,Sim,Não,Não,Não
1301209,AM,Coari,73820,5 - 50001 até 100000,1 - Norte,Sim,Sim,Não,Não,Via cabo ou fibra ótica,Sim,Sim,Não,Sim,Não,Não,Sim,Ativa,Sim,Não,Não,Não,Não,Sim,Não,Não,Não,Sim,Não,-,-
1301308,AM,Codajás,24451,4 - 20001 até 50000,1 - Norte,Não,Sim,Sim,Não,Via satélite,Sim,Não,Não,Não,Não,Não,Sim,Em elaboração,-,-,-,-,Não,Sim,Não,Sim,Não,Sim,Sim,Sim,Não
1301407,AM,Eirunepé,35534,4 - 20001 até 50000,1 - Norte,Não,Sim,Não,Não,Via satélite,Não,-,-,Não,Não,Não,Sim,Não possui página,-,-,-,-,Sim,Não,-,Não,Não,Sim,Não,Sim,Não
1301506,AM,Envira,17920,3 - 10001 até 20000,1 - Norte,Sim,Sim,Não,Não,Via cabo ou fibra ótica,Não,-,-,Não,Não,Não,Sim,Não possui página,-,-,-,-,Não,Sim,Não,Não,Não,Sim,Não,Não,Não
1301605,AM,Fonte Boa,27875,4 - 20001 até 50000,1 - Norte,Não,Não,Não,Sim,Nenhuma,Sim,-,-,Não,Não,Não,Sim,Não possui página,-,-,-,-,Não,Não,-,Não,Não,Sim,Não,Sim,Não
1301654,AM,Guajará,14332,3 - 10001 até 20000,1 - Norte,Sim,Não,Sim,Não,Via cabo ou fibra ótica,Não,-,-,Não,Não,Não,Sim,Ativa,Sim,Não,Não,Não,Não,Não,-,Não,Não,Sim,Não,Não,Sim
1301704,AM,Humaitá,62312,5 - 50001 até 100000,1 - Norte,Não,Não,Não,Sim,Via cabo ou fibra ótica,Sim,Não,Sim,Sim,Não,Não,Sim,Ativa,Não,Sim,Sim,Não,Não,Sim,Não,Sim,Não,Sim,Não,Não,Sim
