cod_municipio,UF,municipio,populacao,faixa_populacao,regiao,atendimento_website,atendimento_whatsapp,atendimento_telefone,nao_disponibiliza_atendimento_distancia,tipo_conexao_internet,tem_estrutura_t,ti_funcionarios_efetivos,ti_terceirizados,tem_cpd,software_interno,software_sociedade,nao_desenvolveu_software,A página da prefeitura na internet está,servico_ouvidoria_online,servico_consulta_processos,servico_nota_fiscal_eletronica,servico_agendamento_saude,site_mobile,tem_inclusao_digital,curso_informatica_populacao,tem_wifi_publico,consulta_publica_online,tem_portal_transparencia,tem_portal_dados_abertos,acessibilidade_sem_mouse,acessibilidade_libras
2305308,CE,Ibiapina,24649,4 - 20001 até 50000,2 - Nordeste,Sim,Não,Sim,Não,Via cabo ou fibra ótica,Sim,Não,Sim,Não,Sim,Não,Não,Ativa,Sim,Sim,Sim,Não,Sim,Não,-,Não,Não,Sim,Sim,Sim,Sim
2305332,CE,Ibicuitinga,11979,3 - 10001 até 20000,2 - Nordeste,Não,Sim,Sim,Não,Via cabo ou fibra ótica,Sim,Sim,Não,Não,Sim,Não,Não,Ativa,Sim,Não,Sim,Não,Sim,Não,-,Sim,Não,Sim,Sim,Não,Não
2305357,CE,Icapuí,22367,4 - 20001 até 50000,2 - Nordeste,Sim,Não,Não,Não,Via cabo ou fibra ótica,Sim,Sim,Não,Sim,Não,Não,Sim,Ativa,Sim,Não,Sim,Não,Sim,Não,-,Não,Sim,Sim,Não,Não,Não
2305407,CE,Icó,64802,5 - 50001 até 100000,2 - Nordeste,Não,Sim,Sim,Não,Via cabo ou fibra ótica,Não,-,-,Não,Sim,Não,Não,Em manutenção ou reestruturação,Sim,Não,Não,Não,Não,Sim,Sim,Sim,Sim,Sim,Sim,Não,Sim
2305506,CE,Iguatu,102251,6 - 100001 até 500000,2 - Nordeste,Sim,Não,Sim,Não,Via cabo ou fibra ótica,Sim,Sim,Sim,Sim,Sim,Sim,Não,Ativa,Sim,Sim,Sim,Não,Sim,Sim,Não,Sim,Não,Sim,Sim,Sim,Sim
2305605,CE,Independência,24530,4 - 20001 até 50000,2 - Nordeste,Não,Não,Não,Não,Via cabo ou fibra ótica,Sim,Não,Não,Não,Não,Não,Sim,Ativa,Sim,Não,Sim,Não,Não,Sim,Não,Não,Não,Sim,Não,Não,Não
2305654,CE,Ipaporanga,11937,3 - 10001 até 20000,2 - Nordeste,Não,Sim,Sim,Não,Via cabo ou fibra ótica,Sim,Sim,Não,Não,Sim,Não,Não,Ativa,Sim,Não,Sim,Não,Não,Não,-,Sim,Sim,Sim,Não,Sim,Não
2305704,CE,Ipaumirim,12441,3 - 10001 até 20000,2 - Nordeste,Sim,Sim,Sim,Não,Via cabo ou fibra ótica,Não,-,-,Não,Não,Sim,Não,Ativa,Sim,Sim,Sim,Não,Sim,Sim,Sim,Sim,Não,Sim,Sim,Sim,Não
2305803,CE,Ipu,42968,4 - 20001 até 50000,2 - Nordeste,Não,Não,Sim,Não,Via cabo ou fibra ótica,Não,-,-,Não,Não,Não,Sim,Ativa,Sim,Não,Sim,Não,Não,Não,-,Não,Não,Sim,Não,Não,Não
2305902,CE,Ipueiras,38285,4 - 20001 até 50000,2 - Nordeste,Sim,Sim,Sim,Não,Via cabo ou fibra ótica,Sim,Não,Sim,Não,Não,Sim,Não,Ativa,Sim,Sim,Sim,Não,Sim,Sim,Não,Não,Não,Sim,Sim,Não,Sim
2306009,CE,Iracema,14411,3 - 10001 até 20000,2 - Nordeste,Não,Sim,Não,Não,Via cabo ou fibra ótica,Não,-,-,Não,Não,Não,Sim,Ativa,Sim,Não,Não,Não,Não,Sim,Não,Sim,Não,Sim,Não,Sim,Não
2306108,CE,Irauçuba,24751,4 - 20001 até 50000,2 - Nordeste,Sim,Sim,Não,Não,Via cabo ou fibra ótica,Não,-,-,Não,Não,Não,Sim,Ativa,Sim,Não,Sim,Não,Não,Sim,Sim,Não,Não,Sim,Não,Não,Não
2306207,CE,Itaiçaba,7779,2 - 5001 até 10000,2 - Nordeste,Sim,Não,Sim,Não,Via cabo ou fibra ótica,Não,-,-,Não,Não,Não,Sim,Ativa,Sim,Não,Sim,Não,Não,Sim,Não,Não,Não,Sim,Não,Não,Não
2306256,CE,Itaitinga,70679,5 - 50001 até 100000,2 - Nordeste,Sim,Sim,Sim,Não,Via cabo ou fibra ótica,Sim,Não,Não,Sim,Sim,Não,Não,Ativa,Sim,Não,Sim,Não,Sim,Sim,Não,Não,Não,Sim,Sim,Sim,Não
2306306,CE,Itapajé,49086,4 - 20001 até 50000,2 - Nordeste,Sim,Sim,Não,Não,Via cabo ou fibra ótica,Sim,Sim,Sim,Não,Não,Não,Sim,Ativa,Sim,Não,Sim,Sim,Sim,Não,-,Sim,Não,Sim,Sim,Sim,Sim
2306405,CE,Itapipoca,137892,6 - 100001 até 500000,2 - Nordeste,Sim,Não,Sim,Não,Via cabo ou fibra ótica,Não,-,-,Sim,Sim,Não,Não,Ativa,Sim,Sim,Sim,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não
2306504,CE,Itapiúna,18228,3 - 10001 até 20000,2 - Nordeste,Sim,Não,Sim,Não,Via cabo ou fibra ótica,Não,-,-,Não,Não,Não,Sim,Ativa,Sim,Sim,Sim,Não,Sim,Não,-,Não,Não,Sim,Não,Não,Não
2306553,CE,Itarema,45465,4 - 20001 até 50000,2 - Nordeste,Sim,Sim,Sim,Não,Via cabo ou fibra ótica,Sim,Sim,Não,Sim,Sim,Não,Não,Ativa,Sim,Não,Sim,Não,Sim,Sim,Não,Sim,Sim,Sim,Sim,Sim,Não
2306603,CE,Itatira,21087,4 - 20001 até 50000,2 - Nordeste,Sim,Não,Sim,Não,Via cabo ou fibra ótica,Não,-,-,Não,Não,Não,Sim,Ativa,Sim,Não,Sim,Não,Não,Não,-,Não,Não,Sim,Não,Sim,Não
2306702,CE,Jaguaretama,17625,3 - 10001 até 20000,2 - Nordeste,Não,Não,Sim,Não,Via cabo ou fibra ótica,Não,-,-,Não,Não,Não,Sim,Ativa,Sim,Sim,Sim,Não,Não,Não,-,Não,Sim,Sim,Não,Sim,Não
2306801,CE,Jaguaribara,10656,3 - 10001 até 20000,2 - Nordeste,Não,Sim,Não,Não,Via cabo ou fibra ótica,Sim,Sim,Não,Não,Não,Não,Sim,Ativa,Sim,Não,Sim,Não,Não,Não,-,Não,Não,Sim,Não,Não,Não
2306900,CE,Jaguaribe,35124,4 - 20001 até 50000,2 - Nordeste,Sim,Não,Sim,Não,Via cabo ou fibra ótica,Sim,Sim,Não,Não,Não,Sim,Não,Ativa,Sim,Não,Sim,Não,Sim,Sim,Sim,Não,Sim,Sim,Não,Sim,Sim
2307007,CE,Jaguaruana,33070,4 - 20001 até 50000,2 - Nordeste,Sim,Sim,Sim,Não,Via cabo ou fibra ótica,Sim,Sim,Não,Sim,Sim,Não,Não,Ativa,Sim,Sim,Sim,Não,Sim,Sim,Não,Sim,Não,Sim,Não,Sim,Sim
